City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1047,Barinas,VE,79.86,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
1051,Pabna,BD,79.66,clear sky,24.0,89.25,Hotel Dream Palace International
1052,Norsup,VU,84.11,broken clouds,-16.0667,167.3833,Nabelchel Bungalows
1053,Tecoanapa,MX,84.47,clear sky,16.5167,-98.75,Hotel Manglares
1056,Tamiahua,MX,80.24,scattered clouds,21.2667,-97.45,Mission Of The Sun Hotel
1057,Kwale,NG,77.07,light rain,5.7063,6.4374,Benvo Twin Hotel 1
1059,Hun,LY,77.83,broken clouds,29.1268,15.9477,Alrwasi Hotel
1062,Mahajanga,MG,75.22,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
1065,Keti Bandar,PK,79.41,overcast clouds,24.1447,67.4497,Haji laloo memon house
1070,Pineville,US,82.33,clear sky,31.3224,-92.4343,"Country Inn & Suites by Radisson, Pineville, LA"
1073,Kralendijk,BQ,80.58,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
1076,Lahaina,US,86.0,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
1079,Gizo,SB,84.47,overcast clouds,-8.103,156.8419,Imagination Island
1081,Merida,MX,80.62,broken clouds,20.9667,-89.6167,Hotel Nacional Mérida
1084,Diffa,NE,85.48,overcast clouds,13.3154,12.6113,ProDAF/Diffa
1085,Bogande,BF,86.99,broken clouds,12.9714,-0.1436,Auberge Wendkouni
1086,Oum Hadjer,TD,89.44,broken clouds,13.2954,19.6966,
1099,Port-Gentil,GA,80.89,light rain,-0.7193,8.7815,Fengshui Residence
1101,Pagudpud,PH,86.22,clear sky,18.5616,120.7868,Saud Beach Resort and Hotel - 2
1106,Tessalit,ML,81.21,clear sky,20.1986,1.0114,
1116,Sokoni,TZ,80.19,moderate rain,-6.4333,39.55,Ujamaa Beach Resort
1117,Sierra Vista,US,84.49,clear sky,31.5545,-110.3037,Gateway Studio Suites
1119,Lazaro Cardenas,MX,81.79,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
1120,Khanpur,PK,77.95,clear sky,28.6453,70.6567,Ahmad Bartan store
1123,Kailua,US,82.38,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
1124,Juxtlahuaca,MX,81.39,few clouds,17.4294,-99.1467,"Casa de Huespedes ""El centro"""
1130,Abonnema,NG,78.75,light rain,4.7084,6.7931,Corper's Lodge Obonoma
1136,Aitape,PG,85.08,broken clouds,-3.1374,142.3475,
1142,Ugoofaaru,MV,83.3,overcast clouds,5.6667,73.0,Ungoofaaru Inn
1150,Alyangula,AU,86.11,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
1151,Annigeri,IN,82.27,broken clouds,15.4333,75.4333,Darshan lodge
1152,Ciudad Guayana,VE,80.04,overcast clouds,8.3533,-62.6528,Hotel Las Americas
1160,Paratinga,BR,79.54,broken clouds,-12.6906,-43.1842,Pousada Magalhães 2
1163,Chakulia,IN,77.27,moderate rain,22.4833,86.7167,BKD
1164,Sola,VU,82.83,light rain,-13.8833,167.55,Leumerus Bungalows
1165,Kidal,ML,84.58,clear sky,18.4411,1.4078,
1166,Pathein,MM,79.41,scattered clouds,16.7833,94.7333,Pathein Hotel
1169,Shushtar,IR,75.11,scattered clouds,32.0455,48.8567,چاپ یاس کبود
1174,Idah,NG,78.98,overcast clouds,7.1065,6.7342,Ubiga Hotel Idah
1176,Mackay,AU,75.69,overcast clouds,-21.15,149.2,International Lodge Motel
1179,Kolokani,ML,84.76,broken clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
1182,San Carlos Del Zulia,VE,75.67,overcast clouds,9.0,-71.9135,Hotel El Manantial
1183,Roebourne,AU,81.66,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
1188,Sibolga,ID,77.16,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
1192,Pochutla,MX,84.81,few clouds,15.7432,-96.4661,Hotel Posada San Jose
1193,Sisophon,KH,80.64,broken clouds,13.5859,102.9737,Pyramid Hotel
1194,Dong Hoi,VN,75.16,few clouds,17.4833,106.6,Nam Long Hotel
1200,Kathu,TH,86.76,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
1203,Goundam,ML,84.47,broken clouds,16.4145,-3.6708,
1205,Semaria,IN,88.43,broken clouds,24.3073,79.9718,mishra Tea Pan
1208,Quezaltepeque,SV,79.48,scattered clouds,13.835,-89.2744,Residencial Mercher
1209,Pitimbu,BR,75.79,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
1211,Denham Springs,US,80.46,clear sky,30.4869,-90.9562,"Candlewood Suites Denham Springs, an IHG Hotel"
1216,Pemba,MZ,76.46,overcast clouds,-12.974,40.5178,Guesthouse Samotina
1217,La Orilla,MX,81.84,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
1219,Wewak,PG,84.24,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
1223,Pantai Remis,MY,78.35,broken clouds,4.4557,100.6288,Leisure Homestay
1224,Amahai,ID,82.99,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
1227,Partapur,IN,82.29,clear sky,23.6,74.1667,Hotel Deependra And Restaurent
1231,Dabakala,CI,79.72,overcast clouds,8.3667,-4.4333,Hôtel Campement
1233,Katobu,ID,81.95,few clouds,-4.9408,122.5276,La Ode Husein
1235,Licheng,CN,75.2,overcast clouds,23.2955,113.8284,Xincheng Tourism Industry
1237,Lhokseumawe,ID,78.22,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
1244,Buchanan,LR,80.29,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
1247,Tiarei,PF,77.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
1252,Kotaparh,IN,75.36,broken clouds,19.15,82.35,Atul Pattnaik
1254,Puerto Quijarro,BO,79.16,broken clouds,-17.7833,-57.7667,Hotel palance
1259,Kolondieba,ML,84.06,broken clouds,11.0882,-6.8926,Hotel Dakan
1260,Nouna,BF,86.2,few clouds,12.7333,-3.8667,Sabunyuma So
1261,Sur,OM,84.31,clear sky,22.5667,59.5289,Sur Plaza Hotel
1265,Birao,CF,79.95,broken clouds,10.2849,22.7882,
